Date,Arriving by date,Type,Confirmation code,Booking date,Start date,End date,Nights,Guest,Listing,Details,Reference code,Currency,Amount,Paid out,Service fee,Fast pay fee,Cleaning fee,Gross earnings,Occupancy taxes,Earnings year
12/15/23,12/15/23,Reservation,HMKP9Q2R,12/1/23,12/16/23,12/30/23,14,Maria Garcia,Cozy Studio in Makati,,rt45mp9kl2,PHP,15800,,2370,158,1500,17300,1896,2023
12/20/23,,Payout,,,,,,,,Transfer to Bank Account (PHP),xy78nq3wv4,PHP,-1200,4500,,,,,,2023
12/25/23,,Resolution Adjustment,,,,,,,,,ab12cd34ef,PHP,-500,,,,,,,2023
12/28/23,12/28/23,Reservation,HMRS5T8W,12/15/23,12/29/23,1/10/24,12,John Smith,Luxury Condo with City View,,gh56jk78lm,PHP,18000,,2700,180,1800,19800,2160,2023
12/30/23,,Resolution Payout,,,,,,,,,mn90pq12rs,PHP,800,,,,,,,2023
1/5/24,1/5/24,Reservation,HM1A2B3C,12/20/23,1/6/24,1/15/24,9,David Kim,Modern 2BR Apartment,,tu34vw56xy,PHP,12000,,1800,120,1400,13400,1440,2024
1/10/24,,Payout,,,,,,,,Transfer to Bank Account (PHP),z789ab1cd,PHP,-2000,5000,,,,,,2024
2/15/24,2/15/24,Reservation,HM4D5E6F,2/1/24,2/16/24,2/25/24,9,Sarah Johnson,Beachfront Villa,,ef23gh45ij,PHP,16500,,2475,165,1600,18100,1980,2024
3/20/24,,Resolution Adjustment,,,,,,,,,kl67mn89op,PHP,-800,,,,,,,2024
4/10/24,4/10/24,Reservation,HM7G8H9I,3/25/24,4/11/24,4/20/24,9,Mohammed Ahmed,Peaceful Garden House,,qr12st34uv,PHP,13500,,2025,135,1450,14950,1620,2024
5/15/24,,Payout,,,,,,,,Transfer to Bank Account (PHP),wx56yz78ab,PHP,-1500,4200,,,,,,2024
6/20/24,6/20/24,Reservation,HMJ1K2L3,6/5/24,6/21/24,6/30/24,9,Lisa Chen,Downtown Loft,,cd90ef12gh,PHP,14800,,2220,148,1550,16350,1776,2024
7/25/24,,Resolution Payout,,,,,,,,,ij34kl56mn,PHP,1200,,,,,,,2024
8/30/24,8/30/24,Reservation,HM4M5N6P,8/15/24,8/31/24,9/10/24,10,Robert Taylor,Cozy Studio in Makati,,op78qr90st,PHP,17200,,2580,172,1700,18900,2064,2024
9/15/24,,Payout,,,,,,,,Transfer to Bank Account (PHP),uv12wx34yz,PHP,-1800,4800,,,,,,2024
10/20/24,10/20/24,Reservation,HM7Q8R9S,10/5/24,10/21/24,11/5/24,15,Emma Wilson,Luxury Condo with City View,,ab56cd78ef,PHP,19500,,2925,195,1850,21350,2340,2024
11/25/24,,Resolution Adjustment,,,,,,,,,gh90ij12kl,PHP,-600,,,,,,,2024
12/20/24,12/20/24,Reservation,HMT1U2V3,12/5/24,12/21/24,1/5/25,15,James Brown,Modern 2BR Apartment,,mn34op56qr,PHP,20000,,3000,200,1900,21900,2400,2024
12/28/24,,Payout,,,,,,,,Transfer to Bank Account (PHP),st78uv90wx,PHP,-2200,5500,,,,,,2024
1/10/25,1/10/25,Reservation,HM4W5X6Y,12/25/24,1/11/25,1/25/25,14,Sofia Rodriguez,Beachfront Villa,,yz12ab34cd,PHP,21000,,3150,210,2000,23000,2520,2025
1/15/25,,Resolution Payout,,,,,,,,,ef56gh78ij,PHP,900,,,,,,,2025
1/20/25,,Payout,,,,,,,,Transfer to Bank Account (PHP),kl90mn12op,PHP,-1700,4700,,,,,,2025
1/25/25,1/25/25,Reservation,HM7Z8A9B,1/10/25,1/26/25,2/10/25,15,Mohammed Ahmed,Peaceful Garden House,,qr34st56uv,PHP,18500,,2775,185,1750,20250,2220,2025
1/30/25,,Resolution Adjustment,,,,,,,,,wx78yz90ab,PHP,-400,,,,,,,2025
2/5/25,2/5/25,Reservation,HMC1D2E3,1/20/25,2/6/25,2/20/25,14,Maria Garcia,Downtown Loft,,cd12ef34gh,PHP,19800,,2970,198,1880,21680,2376,2025
9/21/24,,Resolution Adjustment,,,,,,,,,nrhwss0s05c,PHP,-357,,,,,,,2024
7/17/24,,Resolution Adjustment,,,,,,,,,iqbghmdgdh,PHP,-1636,,,,,,,2024
2/20/24,2/20/24,Reservation,HMANLCHT,2/19/24,2/21/24,3/8/24,16,John Smith,Luxury Condo with City View,,dfxmdtobr5u,PHP,5219,,783,52,1647,6866,626,2024
10/6/24,,Resolution Adjustment,,,,,,,,,vrozbcbgwsk,PHP,427,,,,,,,2024
11/29/24,,Payout,,,,,,,,Transfer to Bank Account (PHP),8ono6m9fe6o,PHP,-159,3194,,,,,,2024
7/26/24,,Payout,,,,,,,,Transfer to Bank Account (PHP),mrmz8yki7qs,PHP,-160,946,,,,,,2024
3/13/24,,Payout,,,,,,,,Transfer to Bank Account (PHP),4g1k81gl29d,PHP,-379,827,,,,,,2024
11/12/24,,Resolution Adjustment,,,,,,,,,v4mgm93l9p,PHP,1403,,,,,,,2024
1/13/24,,Resolution Payout,,,,,,,,,4vsqantddmh,PHP,133,,,,,,,2024
9/10/24,9/10/24,Reservation,HMFCN4DA,9/3/24,9/11/24,9/19/24,8,Lisa Chen,Cozy Studio in Makati,,w94149boama,PHP,17212,,2582,172,1457,18669,2065,2024
5/9/24,,Payout,,,,,,,,Transfer to Bank Account (PHP),qala0s1xpa,PHP,-1433,1881,,,,,,2024
3/25/24,,Resolution Payout,,,,,,,,,f7iefrouqn,PHP,1875,,,,,,,2024
10/20/24,,Payout,,,,,,,,Transfer to Bank Account (PHP),mdg1e8z2cf,PHP,-1841,4175,,,,,,2024
7/2/24,7/2/24,Reservation,HM0M4R22,6/15/24,7/3/24,7/20/24,17,Lisa Chen,Cozy Studio in Makati,,j7kp3okdklf,PHP,11690,,1754,117,1994,13684,1403,2024
1/6/24,,Payout,,,,,,,,Transfer to Bank Account (PHP),alk3n9ivgxl,PHP,1725,1273,,,,,,2024
3/16/24,,Resolution Payout,,,,,,,,,l5bv518ptng,PHP,1184,,,,,,,2024
3/6/24,,Resolution Adjustment,,,,,,,,,efcacg2vrvh,PHP,-936,,,,,,,2024
10/15/24,,Resolution Adjustment,,,,,,,,,kdrngjcwy9l,PHP,-1375,,,,,,,2024
4/16/24,,Resolution Adjustment,,,,,,,,,q1lmg4to3mh,PHP,-675,,,,,,,2024
11/10/24,11/10/24,Reservation,HMNNW3YP,11/2/24,11/11/24,11/20/24,9,Lisa Chen,Cozy Studio in Makati,,qjejk1xy5xl,PHP,13957,,2094,140,1584,15541,1675,2024
8/19/24,,Resolution Payout,,,,,,,,,yz0soewqzk,PHP,1952,,,,,,,2024
6/2/24,,Resolution Payout,,,,,,,,,lma7kz4yjkr,PHP,-907,,,,,,,2024
1/12/24,1/12/24,Reservation,HMJ0P8HI,1/5/24,1/13/24,2/3/24,21,John Smith,Downtown Loft,,9g7clf3koz6,PHP,12993,,1949,130,1240,14233,1559,2024
8/9/24,8/9/24,Reservation,HMOYEK1Y,7/24/24,8/10/24,8/14/24,4,John Smith,Cozy Studio in Makati,,8bfcwbqgye7,PHP,5417,,813,54,1569,6986,650,2024
12/24/24,,Payout,,,,,,,,Transfer to Bank Account (PHP),gef60zk938e,PHP,-1395,3452,,,,,,2024
9/12/24,,Resolution Adjustment,,,,,,,,,c6gcjwv3ndr,PHP,606,,,,,,,2024
12/28/24,12/28/24,Reservation,HM2T94B5,12/8/24,12/29/24,1/13/25,15,Lisa Chen,Modern 2BR Apartment,,ti83hzxol4,PHP,5329,,799,53,1591,6920,639,2024
4/23/24,4/23/24,Reservation,HMYALEI4,3/25/24,4/24/24,5/1/24,7,Sarah Johnson,Beachfront Villa,,d2h1hgb90ar,PHP,16078,,2412,161,1000,17078,1929,2024
6/2/24,,Resolution Adjustment,,,,,,,,,rme27qwhlwb,PHP,1020,,,,,,,2024
6/20/24,,Resolution Adjustment,,,,,,,,,9scubhtp3ku,PHP,-418,,,,,,,2024
9/18/24,,Resolution Payout,,,,,,,,,vts2tb8224n,PHP,700,,,,,,,2024
3/21/24,,Resolution Adjustment,,,,,,,,,sl8thw7qvwi,PHP,1646,,,,,,,2024
4/13/24,,Resolution Payout,,,,,,,,,u7z2b6sw82,PHP,-251,,,,,,,2024
11/4/24,,Resolution Payout,,,,,,,,,6hf8c352opi,PHP,-588,,,,,,,2024
5/23/24,5/23/24,Reservation,HMWDV41X,5/1/24,5/24/24,5/29/24,5,Emma Wilson,Modern 2BR Apartment,,4rgqmtaagnk,PHP,14595,,2189,146,1152,15747,1751,2024
2/25/24,,Resolution Payout,,,,,,,,,124n3s85xaqj,PHP,1936,,,,,,,2024
12/23/24,,Payout,,,,,,,,Transfer to Bank Account (PHP),ivaqv56dh9,PHP,70,3051,,,,,,2024
6/15/24,,Resolution Adjustment,,,,,,,,,gqkk7rahka,PHP,-1587,,,,,,,2024
9/19/24,,Resolution Payout,,,,,,,,,22z43icitec,PHP,-1034,,,,,,,2024
8/24/24,8/24/24,Reservation,HMF7AATK,7/30/24,8/25/24,8/26/24,1,Lisa Chen,Luxury Condo with City View,,8hkbk8qfn4g,PHP,17877,,2682,179,1530,19407,2145,2024
10/11/24,,Payout,,,,,,,,Transfer to Bank Account (PHP),qgvwbt4gd1r,PHP,1593,773,,,,,,2024
2/17/24,,Payout,,,,,,,,Transfer to Bank Account (PHP),qztc8v8n3da,PHP,-1921,1335,,,,,,2024
7/30/24,7/30/24,Reservation,HMXIH8OV,7/28/24,7/31/24,8/9/24,9,Sofia Rodriguez,Downtown Loft,,m92ea08pki,PHP,16643,,2496,166,1575,18218,1997,2024
5/25/24,,Payout,,,,,,,,Transfer to Bank Account (PHP),dsnt8ylzmed,PHP,263,3315,,,,,,2024
2/5/24,,Resolution Payout,,,,,,,,,zj6tuv2ksp,PHP,1632,,,,,,,2024
11/19/24,,Resolution Payout,,,,,,,,,pm8zdwrr5qf,PHP,1482,,,,,,,2024
10/15/24,10/15/24,Reservation,HMENENZQ,9/30/24,10/16/24,10/20/24,4,Robert Taylor,Beachfront Villa,,h6nu4lvcaqv,PHP,12003,,1800,120,1291,13294,1440,2024
2/13/24,,Payout,,,,,,,,Transfer to Bank Account (PHP),n7u7lvjodf7,PHP,-1566,3006,,,,,,2024
12/10/24,12/10/24,Reservation,HM2W5N9D,12/7/24,12/11/24,12/22/24,11,John Smith,Luxury Condo with City View,,dgpfllrzdy,PHP,5964,,895,60,1040,7004,716,2024
6/14/24,,Payout,,,,,,,,Transfer to Bank Account (PHP),t9n2d7wmrhh,PHP,578,1974,,,,,,2024
3/27/24,,Resolution Payout,,,,,,,,,iy89dzv9ttj,PHP,-11,,,,,,,2024
6/10/24,,Payout,,,,,,,,Transfer to Bank Account (PHP),vyjw0ptpgqt,PHP,-1931,4871,,,,,,2024
12/12/24,,Payout,,,,,,,,Transfer to Bank Account (PHP),acgox0npyy6,PHP,-1452,698,,,,,,2024
8/22/24,,Resolution Payout,,,,,,,,,ysy1ij6d9em,PHP,-284,,,,,,,2024
4/28/24,,Resolution Payout,,,,,,,,,m3tnuvp5ync,PHP,-1337,,,,,,,2024
12/15/24,,Payout,,,,,,,,Transfer to Bank Account (PHP),6hfpujjjqkf,PHP,900,3676,,,,,,2024
10/11/24,10/11/24,Reservation,HMVSARQQ,9/26/24,10/12/24,10/13/24,1,James Brown,Downtown Loft,,9m98ll5jkd,PHP,9602,,1440,96,1866,11468,1152,2024
2/7/24,2/7/24,Reservation,HM66WHK8,1/13/24,2/8/24,2/15/24,7,Lisa Chen,Luxury Condo with City View,,ztaog5l3vd8,PHP,5489,,823,55,1586,7075,659,2024
8/9/24,,Payout,,,,,,,,Transfer to Bank Account (PHP),1nru3h04g4j,PHP,-1628,2804,,,,,,2024
12/19/24,,Resolution Payout,,,,,,,,,ufyoxgai8k,PHP,188,,,,,,,2024
12/22/24,,Resolution Adjustment,,,,,,,,,oegj95se7pk,PHP,906,,,,,,,2024
2/18/24,,Resolution Payout,,,,,,,,,qc9ds87y86,PHP,1860,,,,,,,2024
8/26/24,,Resolution Adjustment,,,,,,,,,9eklfx08t7g,PHP,-737,,,,,,,2024
3/22/24,3/22/24,Reservation,HM1KXRLF,2/21/24,3/23/24,4/9/24,17,Mohammed Ahmed,Peaceful Garden House,,mnbr98dgza,PHP,10422,,1563,104,1508,11930,1251,2024
7/18/24,,Resolution Payout,,,,,,,,,2cmaddqud28,PHP,1801,,,,,,,2024
5/18/24,,Resolution Adjustment,,,,,,,,,n742gdk2d7,PHP,-3,,,,,,,2024
7/4/24,,Resolution Payout,,,,,,,,,2ydpchy5t81,PHP,632,,,,,,,2024
1/23/24,1/23/24,Reservation,HMNOOKYU,12/30/23,1/24/24,2/14/24,21,Sarah Johnson,Cozy Studio in Makati,,be1t72nkief,PHP,8650,,1298,87,1459,10109,1038,2024
5/8/24,,Resolution Payout,,,,,,,,,8xrmj0xbb7x,PHP,312,,,,,,,2024
1/19/24,,Payout,,,,,,,,Transfer to Bank Account (PHP),jwkgme8nhjh,PHP,1370,3556,,,,,,2024
1/21/24,,Resolution Adjustment,,,,,,,,,thj87cuxl8,PHP,-98,,,,,,,2024
10/3/24,10/3/24,Reservation,HM7JI7P5,9/4/24,10/4/24,10/28/24,24,Robert Taylor,Downtown Loft,,tyh96v4g7ah,PHP,5070,,761,51,1076,6146,608,2024
4/30/24,,Resolution Adjustment,,,,,,,,,uda77rst9s,PHP,-1340,,,,,,,2024
12/26/24,,Payout,,,,,,,,Transfer to Bank Account (PHP),37qdpey3qof,PHP,1593,2136,,,,,,2024
7/10/24,,Resolution Payout,,,,,,,,,v4pwhxji57,PHP,1356,,,,,,,2024
10/30/24,10/30/24,Reservation,HM6PWFBU,10/7/24,10/31/24,11/18/24,18,Sarah Johnson,Cozy Studio in Makati,,5njz7tiquiu,PHP,14322,,2148,143,1115,15437,1719,2024
11/14/24,,Resolution Payout,,,,,,,,,p561qg0s47o,PHP,-216,,,,,,,2024
